节点ID,节点类型,节点名称,所有属性
417,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 4, ""class"": ""spatter_cluster"", ""bbox"": [320.7142857142857, 530.1688311688312, 389.5454545454545, 648.3506493506493], ""confidence"": 0.95, ""image_id"": ""img_118"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 101, ""density"": ""high""}"
418,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 5, ""class"": ""porosity_region"", ""bbox"": [680.1418439716313, 419.8581560283688, 757.4468085106383, 509.2198581560284], ""confidence"": 0.95, ""image_id"": ""img_118"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 27, ""density"": ""very_high""}"
419,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 6, ""class"": ""porosity_region"", ""bbox"": [660.974025974026, 680.8181818181818, 754.4805194805194, 793.8051948051948], ""confidence"": 0.95, ""image_id"": ""img_118"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 42, ""density"": ""very_high""}"
420,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [0, 217.11624144177327, 982.2929937674619, 599.9162414417733], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.566073651430151, ""position"": ""center""}"
421,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [38.28, 255.39624144177327, 944.0129937674619, 561.6362414417733], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.9575920642876885, ""position"": ""center""}"
422,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [6.576036866359445, 199.53917050691246, 268.3271889400922, 265.4377880184332], ""confidence"": 0.95, ""image_id"": ""img_119"", ""is_component"": false, ""is_defect"": true, ""length"": 261.7511520737327, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
423,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [293.21198156682027, 175.1152073732719, 372.01382488479265, 264.0552995391705], ""confidence"": 0.95, ""image_id"": ""img_119"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 23.640552995391715, ""shape_regularity"": ""irregular""}"
424,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [60.43225806451616, 158.236866359447, 409.6322580645161, 293.836866359447], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.575221238938052, ""position"": ""center""}"
425,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [73.99225806451616, 171.796866359447, 396.0722580645161, 280.276866359447], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.969026548672565, ""position"": ""edge""}"
426,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [916.421052631579, 695.9473684210526, 1063.7894736842104, 757.7894736842105], ""confidence"": 0.95, ""image_id"": ""img_120"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 113, ""density"": ""high""}"
427,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [757.2105263157895, 467.0, 913.7894736842104, 569.6315789473684], ""confidence"": 0.95, ""image_id"": ""img_120"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 200, ""density"": ""high""}"
428,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [401.00263157894733, 430.5921052631579, 1424.6026315789472, 814.5921052631579], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.665625, ""position"": ""edge""}"
429,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [439.4026315789473, 468.9921052631579, 1386.2026315789471, 776.1921052631579], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.082031249999999, ""position"": ""edge""}"
430,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [349.0, 1313.8888888888891, 1046.2222222222222, 1736.1111111111113], ""confidence"": 0.95, ""image_id"": ""img_121"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 3679, ""density"": ""high""}"
431,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [779.5555555555557, 977.7777777777778, 1468.4444444444446, 1300.0], ""confidence"": 0.95, ""image_id"": ""img_121"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 2774, ""density"": ""high""}"
432,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 3, ""class"": ""spatter_cluster"", ""bbox"": [712.8888888888889, 391.6666666666667, 943.4444444444446, 591.6666666666667], ""confidence"": 0.95, ""image_id"": ""img_121"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 576, ""density"": ""high""}"
433,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [0, 641.451851851852, 1977.6592592592592, 1462.2518518518518], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.409428922099488, ""position"": ""center""}"
434,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [82.08, 723.531851851852, 1895.5792592592593, 1380.171851851852], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.76178615262436, ""position"": ""center""}"
435,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [555.5702279651224, 404.79041916167665, 639.5209580838324, 601.1546380922364], ""confidence"": 0.95, ""image_id"": ""img_122"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 206, ""density"": ""high""}"
436,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [579.5254237288136, 1438.135593220339, 661.7288135593221, 1600.8474576271187], ""confidence"": 0.95, ""image_id"": ""img_122"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 167, ""density"": ""high""}"
437,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [225.08635583427258, 755.3320270253428, 993.0863558342726, 1267.1320270253427], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
438,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [276.2663558342726, 806.5120270253427, 941.9063558342726, 1215.9520270253427], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890978, ""position"": ""edge""}"
439,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [410.2264150943396, 820.754716981132, 570.6037735849056, 946.2264150943396], ""confidence"": 0.95, ""image_id"": ""img_123"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 251, ""density"": ""high""}"
440,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [563.481228668942, 25.25597269624573, 600.0, 77.81569965870307], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 23, ""density"": ""high""}"
441,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [528.9473684210526, 637.3684210526316, 601.578947368421, 754.2105263157894], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 106, ""density"": ""high""}"
442,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 3, ""class"": ""spatter_cluster"", ""bbox"": [481.57894736842104, 765.7894736842105, 598.421052631579, 823.6842105263157], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 84, ""density"": ""high""}"
443,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 4, ""class"": ""spatter_cluster"", ""bbox"": [553.5483870967741, 559.3548387096774, 598.0645161290322, 612.258064516129], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 29, ""density"": ""high""}"
444,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 5, ""class"": ""spatter_cluster"", ""bbox"": [717.4193548387096, 859.3548387096774, 765.8064516129032, 923.2258064516129], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 38, ""density"": ""high""}"
445,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 6, ""class"": ""spatter_cluster"", ""bbox"": [521.9354838709677, 869.0322580645161, 596.7741935483871, 976.7741935483871], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 100, ""density"": ""high""}"
446,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 7, ""class"": ""pit_depression"", ""bbox"": [605.1612903225806, 1520.0, 663.8709677419355, 1596.1290322580644], ""confidence"": 0.95, ""image_id"": ""img_124"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 17.612903225806463, ""shape_regularity"": ""irregular""}"
447,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [215.75629925855048, 529.8323811565685, 983.7562992585505, 1041.6323811565685], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
448,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [266.9362992585505, 581.0123811565685, 932.5762992585505, 990.4523811565685], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890973, ""position"": ""edge""}"
449,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [1197.163120567376, 815.6028368794326, 1359.5744680851064, 888.6524822695036], ""confidence"": 0.95, ""image_id"": ""img_125"", ""is_component"": false, ""is_defect"": true, ""length"": 162.41134751773052, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
450,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [1030.3370786516855, 826.9662921348314, 1114.6067415730338, 887.6404494382023], ""confidence"": 0.95, ""image_id"": ""img_125"", ""is_component"": false, ""is_defect"": true, ""length"": 84.2696629213483, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
451,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [428.4203522193004, 638.1155151804925, 1922.4203522193004, 1071.3155151804924], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.4487534626038787, ""position"": ""edge""}"
452,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [471.7403522193004, 681.4355151804925, 1879.1003522193005, 1027.9955151804925], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 4.060941828254848, ""position"": ""edge""}"
453,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [525.6315789473684, 406.4736842105263, 758.5263157894736, 747.2631578947369], ""confidence"": 0.95, ""image_id"": ""img_126"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 992, ""density"": ""high""}"
454,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [866.9999999999998, 508.29824561403507, 956.4736842105262, 622.3333333333333], ""confidence"": 0.95, ""image_id"": ""img_127"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 127, ""density"": ""high""}"
455,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [547.7017543859647, 866.1929824561403, 824.8947368421052, 996.017543859649], ""confidence"": 0.95, ""image_id"": ""img_128"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 449, ""density"": ""high""}"
456,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [677.1604938271604, 496.91358024691357, 770.3703703703703, 642.5925925925925], ""confidence"": 0.95, ""image_id"": ""img_129"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 169, ""density"": ""high""}"
457,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [703.0864197530864, 1025.9259259259259, 754.3209876543209, 1080.8641975308642], ""confidence"": 0.95, ""image_id"": ""img_129"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 35, ""density"": ""high""}"
458,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 3, ""class"": ""spatter_cluster"", ""bbox"": [703.7037037037037, 1302.469135802469, 762.3456790123456, 1408.6419753086418], ""confidence"": 0.95, ""image_id"": ""img_129"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 77, ""density"": ""high""}"
459,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 4, ""class"": ""spatter_cluster"", ""bbox"": [693.8271604938271, 909.2592592592592, 756.1728395061727, 982.7160493827159], ""confidence"": 0.95, ""image_id"": ""img_129"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 57, ""density"": ""high""}"
460,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [343.62345679012344, 725.2728395061728, 1111.6234567901233, 1237.0728395061728], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5005861664712774, ""position"": ""edge""}"
461,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [394.80345679012345, 776.4528395061727, 1060.4434567901233, 1185.8928395061728], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890969, ""position"": ""edge""}"
462,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [251.9473684210526, 842.0, 371.68421052631584, 915.6842105263157], ""confidence"": 0.95, ""image_id"": ""img_130"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 110, ""density"": ""high""}"
463,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [783.5263157894736, 776.2105263157895, 937.4736842105262, 834.1052631578947], ""confidence"": 0.95, ""image_id"": ""img_130"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 111, ""density"": ""high""}"
464,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 3, ""class"": ""spatter_cluster"", ""bbox"": [1353.2631578947369, 732.7894736842105, 1519.0526315789473, 810.421052631579], ""confidence"": 0.95, ""image_id"": ""img_130"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 160, ""density"": ""high""}"
465,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [357.6912280701755, 626.5350877192983, 1381.2912280701753, 1010.5350877192983], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6656249999999995, ""position"": ""edge""}"
466,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [396.0912280701755, 664.9350877192983, 1342.8912280701752, 972.1350877192983], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0820312499999987, ""position"": ""edge""}"
467,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [489.8070175438595, 450.40350877192975, 631.9122807017543, 736.3684210526314], ""confidence"": 0.95, ""image_id"": ""img_131"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 507, ""density"": ""high""}"
468,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 2, ""class"": ""spatter_cluster"", ""bbox"": [475.7719298245613, 38.122807017543856, 649.4561403508771, 160.92982456140348], ""confidence"": 0.95, ""image_id"": ""img_131"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 266, ""density"": ""high""}"
469,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [177.73684210526312, 90.55614035087711, 945.7368421052631, 602.356140350877], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
470,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [228.91684210526313, 141.73614035087712, 894.5568421052632, 551.1761403508771], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890978, ""position"": ""edge""}"
471,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [1243.2857142857144, 3409.5238095238096, 1462.3333333333335, 3764.285714285714], ""confidence"": 0.95, ""image_id"": ""img_132"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 971, ""density"": ""high""}"
472,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [1388.5238095238096, 2557.1428571428573, 1590.904761904762, 2759.5238095238096], ""confidence"": 0.95, ""image_id"": ""img_132"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 161.90476190476184, ""shape"": ""protrusion""}"
473,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [1548.047619047619, 3761.904761904762, 1759.9523809523812, 3995.2380952380954], ""confidence"": 0.95, ""image_id"": ""img_132"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 169.52380952380975, ""shape"": ""protrusion""}"
474,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 4, ""class"": ""overlap_bump"", ""bbox"": [1212.3333333333335, 857.1428571428572, 1376.6190476190477, 1035.7142857142858], ""confidence"": 0.95, ""image_id"": ""img_132"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 131.4285714285714, ""shape"": ""protrusion""}"
475,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [540.5500000000001, 2162.7595238095237, 2354.95, 3372.359523809524], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999993, ""position"": ""edge""}"
476,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [661.5100000000001, 2283.7195238095237, 2233.99, 3251.399523809524], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999991, ""position"": ""edge""}"
477,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [764.5569620253165, 1212.6582278481012, 1139.240506329114, 1427.8481012658228], ""confidence"": 0.95, ""image_id"": ""img_133"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 1007, ""density"": ""high""}"
478,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1895.8947368421052, 1237.6315789473683, 2101.157894736842, 1363.9473684210527], ""confidence"": 0.95, ""image_id"": ""img_134"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 103, ""density"": ""very_high""}"
479,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [1210.8695652173913, 1054.3478260869565, 2550.0, 1767.391304347826], ""confidence"": 0.95, ""image_id"": ""img_135"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 11935, ""density"": ""high""}"
480,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [1403.7894736842104, 890.2631578947369, 2024.842105263158, 1387.6315789473683], ""confidence"": 0.95, ""image_id"": ""img_136"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 3861, ""density"": ""high""}"
481,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [955.6962025316456, 2051.898734177215, 1246.8354430379745, 2515.1898734177216], ""confidence"": 0.95, ""image_id"": ""img_137"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 1686, ""density"": ""high""}"
482,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [1090.6315789473683, 1019.2105263157894, 2243.2631578947367, 1569.2105263157894], ""confidence"": 0.95, ""image_id"": ""img_138"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 7924, ""density"": ""high""}"
483,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [1452.7272727272725, 1749.090909090909, 1601.8181818181818, 2054.5454545454545], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 74.54545454545462, ""location"": ""edge""}"
484,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [1494.5454545454545, 2189.090909090909, 1616.3636363636363, 2443.6363636363635], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 60.90909090909088, ""location"": ""edge""}"
485,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [1494.5454545454545, 2574.5454545454545, 1625.4545454545453, 2892.7272727272725], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 65.45454545454538, ""location"": ""edge""}"
486,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 4, ""class"": ""undercut_groove"", ""bbox"": [1519.9999999999998, 2945.454545454545, 1632.7272727272725, 3156.363636363636], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 56.363636363636374, ""location"": ""edge""}"
487,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 5, ""class"": ""undercut_groove"", ""bbox"": [1532.7272727272725, 3283.6363636363635, 1634.5454545454545, 3472.7272727272725], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 50.90909090909099, ""location"": ""edge""}"
488,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 6, ""class"": ""undercut_groove"", ""bbox"": [1943.6363636363635, 2307.272727272727, 2081.8181818181815, 2661.8181818181815], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 69.09090909090901, ""location"": ""edge""}"
489,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 7, ""class"": ""undercut_groove"", ""bbox"": [1470.9090909090908, 609.090909090909, 1641.8181818181818, 1185.4545454545453], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 85.4545454545455, ""location"": ""edge""}"
490,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 8, ""class"": ""undercut_groove"", ""bbox"": [1494.5454545454545, 1220.0, 1645.4545454545453, 1632.7272727272725], ""confidence"": 0.95, ""image_id"": ""img_139"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 75.45454545454538, ""location"": ""edge""}"
491,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [712.9272727272726, 1668.8363636363636, 2522.5272727272722, 2878.4363636363632], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4960317460317463, ""position"": ""edge""}"
492,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [833.8872727272726, 1789.7963636363636, 2401.567272727272, 2757.476363636363], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6200396825396828, ""position"": ""edge""}"
493,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1661.764705882353, 486.7647058823529, 1857.3529411764705, 775.0], ""confidence"": 0.95, ""image_id"": ""img_140"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 225, ""density"": ""very_high""}"
494,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [1651.470588235294, 1338.235294117647, 1826.470588235294, 1838.2352941176468], ""confidence"": 0.95, ""image_id"": ""img_140"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 349, ""density"": ""very_high""}"
495,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [1844.1176470588234, 1305.8823529411764, 1979.4117647058822, 1751.470588235294], ""confidence"": 0.95, ""image_id"": ""img_140"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 67.64705882352939, ""location"": ""edge""}"
496,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [903.4313725490192, 649.2647058823529, 2703.431372549019, 1849.264705882353], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5, ""position"": ""edge""}"
497,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [1023.4313725490192, 769.2647058823529, 2583.431372549019, 1729.264705882353], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.625, ""position"": ""edge""}"
498,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2136.666666666667, 1630.0, 2330.0, 1791.6666666666667], ""confidence"": 0.95, ""image_id"": ""img_141"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 125, ""density"": ""very_high""}"
